x,g_lower,g_upper,g_median,up_lower,up_upper,up_median,dp_lower,dp_upper,dp_median,sp_lower,sp_upper,sp_median,um_lower,um_upper,um_median,dm_lower,dm_upper,dm_median,sm_lower,sm_upper,sm_median
9.54548E-05,-0.054640693,0.044672186,-0.00974764,-0.003812052,0.006159768,0.001677181,-0.006904201,0.003491735,-0.001527487,-0.006166287,0.004624505,-0.000300494,-0.001687522,0.0002081,-0.000635688,-0.002478381,0.000888925,-0.000683852,0.001645854,0.00389067,0.002761743
0.000111034,-0.055800236,0.044949892,-0.009525164,-0.003805881,0.006362224,0.001689175,-0.007295044,0.003367029,-0.00174909,-0.006494813,0.004602376,-0.000354401,-0.00185421,0.000249587,-0.000695126,-0.002742196,0.001001125,-0.000751111,0.001789344,0.004267848,0.0030317
0.000129155,-0.055912991,0.043909597,-0.009334723,-0.003895116,0.006599472,0.001761026,-0.007666241,0.003185964,-0.002085309,-0.006753154,0.004654647,-0.000522723,-0.002035368,0.000294802,-0.000761502,-0.003032705,0.001126605,-0.000822694,0.001965498,0.004688389,0.003319508
0.000150234,-0.057480253,0.045203976,-0.009313485,-0.003876761,0.006805021,0.00190022,-0.008053897,0.003010905,-0.00236703,-0.007032401,0.004582176,-0.000659964,-0.002231895,0.000345786,-0.000838297,-0.003352378,0.001258089,-0.000901339,0.002139067,0.005138187,0.003631658
0.000174753,-0.05913326,0.046807011,-0.010158592,-0.003651609,0.006917097,0.001977282,-0.008307805,0.00269378,-0.002665598,-0.007132238,0.004291839,-0.000827029,-0.002413252,0.000396631,-0.000890374,-0.003663158,0.001369885,-0.000994166,0.002299969,0.00557462,0.003920212
0.000203274,-0.061031598,0.04853949,-0.010236487,-0.003650865,0.007084341,0.002034453,-0.008718949,0.002504742,-0.003051747,-0.007344318,0.004279268,-0.000947584,-0.002633301,0.000456075,-0.000957017,-0.004036968,0.001511984,-0.00108227,0.002495611,0.006101354,0.004280322
0.000236449,-0.062470147,0.049730328,-0.009889619,-0.003561272,0.007330472,0.002098871,-0.009229433,0.002269844,-0.003503621,-0.007633445,0.00437006,-0.001133806,-0.002869572,0.000524478,-0.00102574,-0.004463593,0.001654536,-0.001181991,0.002704257,0.006678002,0.004662194
0.000275039,-0.061716608,0.050282632,-0.009098178,-0.003488075,0.007581568,0.002171824,-0.009785269,0.001909218,-0.003888849,-0.008072299,0.004282218,-0.001357942,-0.003122542,0.000602215,-0.001108041,-0.004925829,0.001863218,-0.001301497,0.002922797,0.007316704,0.005071442
0.000319927,-0.062630141,0.051533029,-0.009454153,-0.003396527,0.00785202,0.002430926,-0.010318239,0.001498184,-0.004320787,-0.00835317,0.00449125,-0.001614422,-0.003392538,0.000700756,-0.001197866,-0.005475341,0.002008374,-0.001434611,0.003138784,0.00799608,0.005536728
0.000372141,-0.06347045,0.053986701,-0.009131034,-0.003288388,0.007969705,0.002741028,-0.010753948,0.000965826,-0.004783173,-0.00853127,0.00438948,-0.001915419,-0.003627815,0.000814403,-0.001260974,-0.006039557,0.002217248,-0.001560434,0.00332623,0.008632907,0.005936742
